0.022501,-0
0.40771,-0
0.54603,-0
0.67455,-0
0.8021,-0
0.93872,-0
1.0626,-0
1.184,-0
1.306,-0
1.4273,-0
1.5488,-0
1.6881,-0
1.8108,-0
1.9326,-0
2.0549,-0
2.178,-0
2.2993,-0
2.4214,-0
2.5381,-0
2.683,-0
2.8048,-0
2.9508,-0
3.0726,-0
3.1934,-0
3.315,-0
3.4359,-0
3.5575,-0
3.6878,-0
3.8096,-0
3.929,-0
4.0502,-0
4.1718,-0
4.293,-0
4.4146,-0
4.5354,-0
4.6566,-0
4.7776,-0
4.8997,-0
5.0209,-0
5.1423,-0
5.2635,-0
5.4096,-0
5.5309,-0
5.6524,-0
5.7743,-0
5.8958,-0
6.0187,-0
6.1407,-0
6.2623,-0
6.3864,-0
6.5073,-0
6.6289,-0
6.7507,-0
6.8726,-0
6.9942,-0
7.1155,-0
7.2367,-0
7.3596,-0
7.4809,-0
7.602,-0
7.7235,-0
7.8443,-0
7.9653,-0
8.0868,-0
8.2087,-0
8.3302,-0
8.4514,-0
8.5728,-0
8.6942,-0
8.8152,-0
8.9363,-0
9.0573,-0
9.1791,-0
9.3001,-0
9.4215,-0
9.5428,-0
9.6633,-0
9.7849,-0
9.9065,-0
10.028,-0
10.149,-0
